Name	Acronym	RegulatoryStatus	Jurisdiction	RegulatoryAuthority	LegalDomain	LifecycleDomain	Description	Link
National Clinical Trials Governance Framework	NCTGF	Guidance	Australia	Department of Health	General Pharma	Clinical	National framework for clinical trial governance and ethics oversight.	https://www.health.gov.au/
Privacy Act 1988	—	Mandatory	Australia	OAIC	General AI/Data/Software	Full Lifecycle	Australian data protection law governing personal information handling.	https://www.oaic.gov.au/privacy/the-privacy-act
Therapeutic Goods Act 1989	TGA Act	Mandatory	Australia	TGA	General Pharma	Full Lifecycle	Core Australian law regulating therapeutic goods including medicines and devices.	https://www.legislation.gov.au/Series/C2004A03952
Therapeutic Goods Administration Software-based Medical Device Guidance	TGA SaMD Guidance	Guidance	Australia	TGA	AI/Data/Software+Pharma Intersection	Clinical / Regulatory Review	Regulatory guidance for software and AI medical devices.	https://www.tga.gov.au/resources/resource/guidance
ANVISA Resolution RDC No. 751/2022	—	Mandatory	Brazil	ANVISA	AI/Data/Software+Pharma Intersection	Regulatory Review	Regulation defining requirements for software as a medical device.	https://www.in.gov.br/en/web/dou/-/resolucao-rdc-n-751-de-15-de-setembro-de-2022
Brazil General Data Protection Law	LGPD	Mandatory	Brazil	ANPD	General AI/Data/Software	Full Lifecycle	Brazilian data protection law governing personal data processing.	https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm
Law No. 6,360/1976 (Brazil Health Surveillance Law)	—	Mandatory	Brazil	ANVISA	General Pharma	Full Lifecycle	Brazilian health surveillance law governing medicines and pharmaceuticals.	https://www.planalto.gov.br/ccivil_03/leis/l6360.htm
Canada Vigilance Program	—	Industry Standard	Canada	Health Canada	General Pharma	Post-Market	National adverse drug reaction reporting and pharmacovigilance system.	https://www.canada.ca/en/health-canada/services/drugs-health-products/medeffect-canada/canada-vigilance.html
Food and Drug Regulations (Canada)	FDR	Mandatory	Canada	Health Canada	General Pharma	Regulatory Review	Regulations under Food and Drugs Act governing drug approval.	https://laws-lois.justice.gc.ca/eng/regulations/c.r.c.,_c._870/
Food and Drugs Act (Canada)	FDA (Canada)	Mandatory	Canada	Health Canada	General Pharma	Full Lifecycle	Core Canadian law regulating food and drugs including pharmaceuticals.	https://laws-lois.justice.gc.ca/eng/acts/f-27/
